,Module,Type,Needs,Description,Flags,Produced Events,
,API,,,,,,
,Key,,,,,,
,badsecrets,scan,,Library for detecting known or weak,"active,safe,web-basic,web-thorough","FINDING,VULNERABILITY",
,secrets across many web frameworks,,,,,,
,bucket_aws,scan,,Check for S3 buckets related to target,"active,cloud-enum,safe,web-basic,web-","FINDING,STORAGE_BUCKET",
,thorough,,,,,,
,bucket_azure,scan,,Check for Azure storage blobs related to,"active,cloud-enum,safe,web-basic,web-","FINDING,STORAGE_BUCKET",
,target,thorough,,,,,
,bucket_digitalocean,scan,,Check for DigitalOcean spaces related to,"active,cloud-enum,safe,slow,web-thorough","FINDING,STORAGE_BUCKET",
,target,,,,,,
,bucket_firebase,scan,,Check for open Firebase databases,"active,cloud-enum,safe,web-basic,web-","FINDING,STORAGE_BUCKET",
,related to target,thorough,,,,,
,bucket_gcp,scan,,Check for Google object storage related,"active,cloud-enum,safe,web-basic,web-","FINDING,STORAGE_BUCKET",
,to target,thorough,,,,,
,bypass403,scan,,Check 403 pages for common bypasses,"active,aggressive,web-thorough",FINDING,
,dnszonetransfer,scan,,Attempt DNS zone transfers,"active,safe,subdomain-enum",DNS_NAME,
,ffuf,scan,,A fast web fuzzer written in Go,"active,aggressive,deadly",URL_UNVERIFIED,
,ffuf_shortnames,scan,,Use ffuf in combination IIS shortnames,"active,aggressive,iis-shortnames,web-",URL_UNVERIFIED,
,thorough,,,,,,
,fingerprintx,scan,,"Fingerprint exposed services like RDP,","active,safe,service-enum,slow",PROTOCOL,
,"SSH, MySQL, etc.",,,,,,
,generic_ssrf,scan,,Check for generic SSRFs,"active,aggressive,web-thorough",VULNERABILITY,
,gowitness,scan,,Take screenshots of webpages,"active,safe,web-screenshots","TECHNOLOGY,URL,URL_UNVERIFIED,WEBSCREENS",
,HOT,,,,,,
,host_header,scan,,Try common HTTP Host header spoofing,"active,aggressive,web-thorough",FINDING,
,techniques,,,,,,
,httpx,scan,,Visit webpages. Many other modules rely,"active,cloud-enum,safe,social-","HTTP_RESPONSE,URL",
