id,scan_id,vuln_status,template_name,template_encoded,template_url,vuln_hash,matcher_name,matcher_status,created_at,updated_at,severity,host,matched_at,template_id,tags,extracted_results,description,is_regression
cvbus2rkrjkc738a1tn0,cvbus2rkrjkc738a1tcg,open,Weak Cipher Suites Detection,,,735cef388eb654de16388dfc19a7d9e1,tls-1.1,true,2025-03-17 09:40:53.936769 +0000 UTC,2025-03-17 09:40:53.936769 +0000 UTC,low,gateway-endpoint.biofarma.co.id,gateway-endpoint.biofarma.co.id:443,weak-cipher-suites,,[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA],A weak cipher is defined as an encryption/decryption algorithm that uses a key of insufficient length. Using an insufficient length for a key in an encryption/decryption algorithm opens up the possibility (or probability) that the encryption scheme could be broken.,false
cvbus2rkrjkc738a1ts0,cvbus2rkrjkc738a1tcg,open,Weak Cipher Suites Detection,,,e38b4713d327153571d4bd5ce45633a6,tls-1.1,true,2025-03-17 09:40:53.936769 +0000 UTC,2025-03-17 09:40:53.936769 +0000 UTC,low,bop.biofarma.co.id,bop.biofarma.co.id:443,weak-cipher-suites,,[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA],A weak cipher is defined as an encryption/decryption algorithm that uses a key of insufficient length. Using an insufficient length for a key in an encryption/decryption algorithm opens up the possibility (or probability) that the encryption scheme could be broken.,false
cvbus2rkrjkc738a1tgg,cvbus2rkrjkc738a1tcg,open,Weak Cipher Suites Detection,,,19f04952850ac2c9d4239c87b9d213c6,tls-1.0,true,2025-03-17 09:40:52.886177 +0000 UTC,2025-03-17 09:40:52.886177 +0000 UTC,low,psiap.biofarma.co.id,psiap.biofarma.co.id:443,weak-cipher-suites,,[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA],A weak cipher is defined as an encryption/decryption algorithm that uses a key of insufficient length. Using an insufficient length for a key in an encryption/decryption algorithm opens up the possibility (or probability) that the encryption scheme could be broken.,false
cvbus2rkrjkc738a1tl0,cvbus2rkrjkc738a1tcg,open,Weak Cipher Suites Detection,,,15c104cb18e457f8dd473d6f2684b836,tls-1.0,true,2025-03-17 09:40:52.886177 +0000 UTC,2025-03-17 09:40:52.886177 +0000 UTC,low,doc-bind-mobile.biofarma.co.id,doc-bind-mobile.biofarma.co.id:443,weak-cipher-suites,,[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA],A weak cipher is defined as an encryption/decryption algorithm that uses a key of insufficient length. Using an insufficient length for a key in an encryption/decryption algorithm opens up the possibility (or probability) that the encryption scheme could be broken.,false
cvbus2rkrjkc738a1tng,cvbus2rkrjkc738a1tcg,open,Weak Cipher Suites Detection,,,17dd0e670a2746629157a29d7617e065,tls-1.1,true,2025-03-17 09:40:52.886177 +0000 UTC,2025-03-17 09:40:52.886177 +0000 UTC,low,mobile-mess-dev.biofarma.co.id,mobile-mess-dev.biofarma.co.id:443,weak-cipher-suites,,[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA],A weak cipher is defined as an encryption/decryption algorithm that uses a key of insufficient length. Using an insufficient length for a key in an encryption/decryption algorithm opens up the possibility (or probability) that the encryption scheme could be broken.,false
cvbus2rkrjkc738a1tqg,cvbus2rkrjkc738a1tcg,open,Weak Cipher Suites Detection,,,9339d530473e25e17f9eb9e69a23d1cf,tls-1.1,true,2025-03-17 09:40:52.886177 +0000 UTC,2025-03-17 09:40:52.886177 +0000 UTC,low,psiap.biofarma.co.id,psiap.biofarma.co.id:443,weak-cipher-suites,,[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA],A weak cipher is defined as an encryption/decryption algorithm that uses a key of insufficient length. Using an insufficient length for a key in an encryption/decryption algorithm opens up the possibility (or probability) that the encryption scheme could be broken.,false
cvbus2rkrjkc738a1te0,cvbus2rkrjkc738a1tcg,open,Weak Cipher Suites Detection,,,1b70cd5730767bfbf712f88f54e764a0,tls-1.0,true,2025-03-17 09:40:45.312542 +0000 UTC,2025-03-17 09:40:45.312542 +0000 UTC,low,gateway-endpoint.biofarma.co.id,gateway-endpoint.biofarma.co.id:443,weak-cipher-suites,,[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA],A weak cipher is defined as an encryption/decryption algorithm that uses a key of insufficient length. Using an insufficient length for a key in an encryption/decryption algorithm opens up the possibility (or probability) that the encryption scheme could be broken.,false
cvbus2rkrjkc738a1tfg,cvbus2rkrjkc738a1tcg,open,Weak Cipher Suites Detection,,,4de9952a218ea46a7132296654715465,tls-1.0,true,2025-03-17 09:40:45.312542 +0000 UTC,2025-03-17 09:40:45.312542 +0000 UTC,low,mobile-mess-dev.biofarma.co.id,mobile-mess-dev.biofarma.co.id:443,weak-cipher-suites,,[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA],A weak cipher is defined as an encryption/decryption algorithm that uses a key of insufficient length. Using an insufficient length for a key in an encryption/decryption algorithm opens up the possibility (or probability) that the encryption scheme could be broken.,false
cvbus2rkrjkc738a1ti0,cvbus2rkrjkc738a1tcg,open,Weak Cipher Suites Detection,,,92e295a7e03b268b460898fe6f6771c4,tls-1.0,true,2025-03-17 09:40:45.312542 +0000 UTC,2025-03-17 09:40:45.312542 +0000 UTC,low,workspace.biofarma.co.id,workspace.biofarma.co.id:443,weak-cipher-suites,,[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA],A weak cipher is defined as an encryption/decryption algorithm that uses a key of insufficient length. Using an insufficient length for a key in an encryption/decryption algorithm opens up the possibility (or probability) that the encryption scheme could be broken.,false
cvbus2rkrjkc738a1trg,cvbus2rkrjkc738a1tcg,open,Weak Cipher Suites Detection,,,67af90aa185be9f92e77967d32b9cb8e,tls-1.1,true,2025-03-17 09:40:32.408736 +0000 UTC,2025-03-17 09:40:32.408736 +0000 UTC,low,workspace.biofarma.co.id,workspace.biofarma.co.id:443,weak-cipher-suites,,[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA],A weak cipher is defined as an encryption/decryption algorithm that uses a key of insufficient length. Using an insufficient length for a key in an encryption/decryption algorithm opens up the possibility (or probability) that the encryption scheme could be broken.,false
